,0
0,0.0
1,34.81696666666667
2,28.20631670941909
3,25.17144826452724
4,34.08666666666668
5,30.883999999999993
6,35.62215891487813
7,85.75150252248127
8,69.9215610186556
9,78.84279183037246
10,75.09638964465404
