0,1,2,3,4,5,6,7,8,9,10,11
gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p
1,0,1,1,1,1,0,1,1,0,1,0
